word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
never,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,40,34,0.019845,5,1,never,0.001000975951552764,0.6607625402758197,0.13333333333333333
at,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,40,0.0375275,2,1,at,0.001000975951552764,0.6607625402758197,0.13333333333333333
boris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,-0.00211,5,1,boris,0.001000975951552764,0.6607625402758197,0.0
turned,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,39,-0.021676923076923,6,1,turned,0.0009759515527639448,0.6596972838889588,0.13333333333333333
while,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,39,0.0152923076923076,5,1,while,0.0009759515527639448,0.6596972838889588,0.13333333333333333
through,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,39,39,-0.0226923076923076,7,1,through,0.0009759515527639448,0.6596972838889588,0.2
until,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,37,-0.0248157894736842,5,1,until,0.0009509271539751258,0.6585957192988778,0.06666666666666667
across,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,38,38,0.0255236842105263,6,1,across,0.0009509271539751258,0.6585957192988778,0.2
idon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0.0483052631578947,4,1,idon,0.0009509271539751258,0.6585957192988778,0.0
ihave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,-0.0330842105263157,5,1,ihave,0.0009509271539751258,0.6585957192988778,0.0
again,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,37,0.057081081081081,5,1,again,0.0009259027551863066,0.6574555658168466,0.06666666666666667
iknew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,0.0526459459459459,5,1,iknew,0.0009259027551863066,0.6574555658168466,0.0
around,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,36,0.03,6,1,around,0.0009008783563974875,0.6562743313773061,0.06666666666666667
inthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,0.0563666666666666,5,1,inthe,0.0009008783563974875,0.6562743313773061,0.0
west,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36,36,0.0083277777777777,4,1,west,0.0009008783563974875,0.6562743313773061,0.2
away,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36,36,-0.0605277777777777,4,1,away,0.0009008783563974875,0.6562743313773061,0.13333333333333333
why,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,36,0.0063888888888888,3,1,why,0.0009008783563974875,0.6562743313773061,0.13333333333333333
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,35,34,0.2076971428571429,4,1,well,0.0008758539576086685,0.6550492863214452,0.26666666666666666
above,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35,35,0.0509514285714285,5,1,above,0.0008758539576086685,0.6550492863214452,0.2
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,31,0.0567428571428571,5,1,their,0.0008758539576086685,0.6550492863214452,0.06666666666666667
