word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
may,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,193,186,0.07825803108808285,3,1,may
head,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,191,190,-0.13358743455497374,4,1,head
look,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191,187,-0.04721204188481674,4,1,look
back,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,191,185,-0.05265968586387434,4,1,back
other,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,191,186,-0.09009214659685862,5,1,other
put,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188,185,0.017430851063829803,3,1,put
asked,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187,187,-0.057347058823529425,5,1,asked
quite,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,186,178,-0.02623064516129031,5,1,quite
going,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,185,183,-0.031459459459459445,5,1,going
seemed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185,182,-0.05085945945945945,6,1,seemed
want,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185,183,-0.04163243243243236,4,1,want
much,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,182,176,0.08845164835164834,4,1,much
long,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,181,177,-0.05605911602209945,4,1,long
than,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,179,174,-0.03853687150837987,4,1,than
same,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,178,167,-0.08040224719101124,4,1,same
understand,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178,164,-0.017239325842696617,10,1,understand
own,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,178,174,-0.03930112359550559,3,1,own
turned,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,175,172,-0.10344342857142856,6,1,turned
stood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175,174,-0.14207428571428574,5,1,stood
pyotr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,170,0.06240693641618495,5,1,pyotr
felt,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,172,167,-0.15618081395348837,4,1,felt
people,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169,156,0.05277988165680478,6,1,people
everything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168,160,0.052164285714285726,10,1,everything
course,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,168,165,0.006142261904761909,6,1,course
hand,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167,163,0.2717299401197603,4,1,hand
never,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,167,150,-0.08381916167664666,5,1,never
took,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167,163,-0.10757185628742516,4,1,took
money,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,164,-0.015322289156626494,5,1,money
believe,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,156,-0.039364848484848516,7,1,believe
might,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,164,155,-0.02032804878048781,5,1,might
great,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,164,158,0.4367445121951217,5,1,great
myself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,154,-0.12983000000000006,6,1,myself
heard,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,158,157,-0.1107189873417722,5,1,heard
oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,157,-0.0024196202531645496,2,1,oh
saw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154,148,-0.12264090909090908,3,1,saw
because,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,153,142,-0.10992875816993461,7,1,because
mind,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152,150,-0.0733559210526316,4,1,mind
got,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151,151,-0.07037682119205299,3,1,got
hands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,144,-0.17082066666666668,5,1,hands
better,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,150,144,0.3097166666666665,6,1,better
upon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,144,-0.07566530612244897,4,1,upon
through,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,146,139,-0.11385547945205475,7,1,through
anything,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,145,138,-0.028867586206896556,8,1,anything
our,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,130,0.07404930555555556,3,1,our
any,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,142,138,-0.05517323943661974,3,1,any
thing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,134,-0.013235507246376817,5,1,thing
left,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,138,136,-0.035295652173913054,4,1,left
yesterday,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,138,133,-0.05712101449275365,9,1,yesterday
life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,132,0.026168115942029013,4,1,life
simply,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137,134,-0.10103795620437958,6,1,simply
indeed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136,135,0.04379779411764707,6,1,indeed
always,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136,128,0.03228529411764707,6,1,always
three,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135,130,-0.007292592592592588,5,1,three
heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,133,0.31780671641791036,5,1,heart
word,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,133,-0.06326194029850744,4,1,word
won,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,133,129,-0.0004187969924812099,3,1,won
sister,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,132,127,-0.09725606060606062,6,1,sister
really,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,131,129,-0.035823664122137396,6,1,really
give,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131,130,-0.00510763358778626,4,1,give
most,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131,122,-0.0030603053435114516,4,1,most
knew,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,123,-0.06703692307692305,4,1,knew
told,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,129,128,-0.06561782945736434,4,1,told
yourself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,123,-0.04054296874999999,8,1,yourself
strange,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,127,127,-0.23201338582677147,7,1,strange
rodya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,120,0.021903149606299233,5,1,rodya
brother,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127,125,-0.003262204724409463,7,1,brother
question,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124,120,-0.07416451612903222,8,1,question
pulcheria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,-0.15476048387096775,9,1,pulcheria
herself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,115,-0.03336290322580646,7,1,herself
alexandrovna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,-0.15114552845528453,12,1,alexandrovna
house,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,121,-0.06462295081967213,5,1,house
table,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,118,-0.1069434426229508,5,1,table
every,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,121,115,-0.015436363636363642,5,1,every
whole,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,121,115,-0.02195206611570249,5,1,whole
speak,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,112,-0.08792711864406778,5,1,speak
children,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,111,-0.11694529914529923,8,1,children
round,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,117,117,-0.009697435897435902,5,1,round
place,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,112,-0.07678632478632477,5,1,place
minute,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,113,-0.04596465517241379,6,1,minute
avdotya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,-0.022813043478260853,7,1,avdotya
romanovna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,-0.022813043478260853,9,1,romanovna
god,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,108,0.2895342105263156,3,1,god
these,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,114,113,-0.009320175438596487,5,1,these
young,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113,111,-0.03669026548672566,5,1,young
luzhin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,-0.1482079646017699,6,1,luzhin
answered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0.011783035714285711,8,1,answered
yet,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,112,111,-0.03731160714285715,3,1,yet
gave,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112,110,-0.013896428571428575,4,1,gave
things,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,108,-0.08476972477064218,6,1,things
new,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,108,99,0.020369444444444433,3,1,new
those,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,108,103,-0.08292407407407404,5,1,those
girl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,105,-0.03204811320754716,4,1,girl
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,93,0.10068584905660381,1,1,d
seen,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,106,102,-0.09667358490566037,4,1,seen
sat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,-0.1648839622641509,3,1,sat
home,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,106,106,-0.08166132075471698,4,1,home
sort,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,102,-0.050728571428571415,4,1,sort
