word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
jonathan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,8,1,jonathan
has,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,-0.2772,3,1,has
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,1,1,s
work,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.06743333333333333,4,1,work
were,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,-0.1783,4,1,were
byzantines,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.12726666666666667,10,1,byzantines
final,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.12726666666666667,5,1,final
siege,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.12726666666666667,5,1,siege
western,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.39353333333333335,7,1,western
recent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.17020000000000002,6,1,recent
after,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0.0,5,1,after
most,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.1998,4,1,most
life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.5036333333333333,4,1,life
he,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,-0.04686666666666667,2,1,he
christianity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.3355666666666666,12,1,christianity
constantine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,11,1,constantine
published,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.12726666666666667,9,1,published
pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,2,0,pp
manuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.25910000000000005,6,1,manuel
only,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0.0,4,1,only
readers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,7,1,readers
general,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1468,7,1,general
city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.2612666666666667,4,1,city
more,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.033966666666666666,4,1,more
been,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,-0.2772,4,1,been
conquest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.2083,8,1,conquest
its,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0.12393333333333334,3,1,its
military,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.12040000000000001,8,1,military
presents,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.016133333333333333,8,1,presents
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0593,3,1,are
political,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.23343333333333335,9,1,political
at,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,-0.01726666666666669,2,1,at
inhabitants,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.14365,11,1,inhabitants
offers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.56985,6,1,offers
empire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,6,1,empire
does,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.05135,4,1,does
papal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.08785000000000001,5,1,papal
agreement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.31095,9,1,agreement
crusade,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.14215000000000003,7,1,crusade
personalities,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.11315,13,1,personalities
issues,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,6,1,issues
