word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
voice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,57,0.004601724137931038,5,1,voice
want,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,55,0.10074736842105268,4,1,want
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,52,0.044767857142857144,5,1,their
face,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,53,0.05759818181818183,4,1,face
first,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,55,54,0.06272727272727273,5,1,first
again,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,55,-0.017438181818181818,5,1,again
look,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,53,-0.012216666666666666,4,1,look
knew,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0.048135849056603765,4,1,knew
would,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,53,0.03890754716981131,5,1,would
toward,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0.061792307692307695,6,1,toward
only,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,52,52,-0.003850000000000002,4,1,only
did,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,51,50,-0.006837254901960776,3,1,did
saw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0.054423529411764704,3,1,saw
half,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50,48,-0.028372000000000005,4,1,half
white,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,48,0.015722448979591828,5,1,white
right,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,49,47,0.10751836734693879,5,1,right
while,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,48,0.09210000000000002,5,1,while
girl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,0.07015833333333334,4,1,girl
thought,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,-0.02337708333333334,7,1,thought
