word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,overarcing_theme
jeanne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.0,6,1,jeanne,0.0003838526006013,0.5496051325127768,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
iloveyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,8,1,iloveyou,0.0003838526006013,0.5496051325127768,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
youknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,7,1,youknow,0.0003838526006013,0.5496051325127768,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
othekinginyellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,16,1,othekinginyellow,0.0003198771671678,0.5343829898349378,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
hecontinued,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,11,1,hecontinued,0.0003198771671678,0.5343829898349378,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
iknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,5,1,iknow,0.0003198771671678,0.5343829898349378,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0.0,3,1,you,0.0003198771671678,0.5343829898349378,0.0666666666666666,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
here,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,4,1,here,0.0003198771671678,0.5343829898349378,0.2,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
yousee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,6,1,yousee,0.0003198771671678,0.5343829898349378,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,5,5,0.0,4,1,that,0.0003198771671678,0.5343829898349378,0.4,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
