mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0058539867401124,0.006562279342592306,0.032357978820800784,0.0007381009858234523,10,5,500,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.5643557147933516,0.5362406254091155,0.6465366576580664,0.5756733226612746,0.6016416391763936,0.5848895919396403,0.037294217977785,26
0.19682998657226564,0.0016598093700596573,0.007515144348144531,0.00014232965356648808,10,10,100,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}",0.5826593780641921,0.6179351586900821,0.6359488518895378,0.5753125465822407,0.6412580571524037,0.6106227984756913,0.027063501020763263,20
0.5876165866851807,0.008634336143305176,0.019440412521362305,0.000427012507412915,10,10,300,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 300}",0.5960229291739139,0.5908353438440965,0.6384332380625244,0.5735583539105318,0.6340274132211111,0.6065754556424355,0.025368343330596378,21
0.9713065147399902,0.0008177878681983082,0.03134498596191406,0.00048503548058120415,10,10,500,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 500}",0.592580012984827,0.5884865195587295,0.6434733014899836,0.5753838376637265,0.6308128335468466,0.6061473010488226,0.026244938521715118,22
0.272949743270874,0.0029691041492712093,0.012331485748291016,0.0002481924811852523,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.5298484034807885,0.43024529567199155,0.49968135046911694,0.4854339358509887,0.4211146180562307,0.47326472070582326,0.041516130403212365,36
0.8236106872558594,0.008045401901791068,0.035424232482910156,0.0008179225317193284,,1,300,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.5345460520515225,0.4327981767806713,0.5043563171459372,0.48740632243875986,0.44998768608592515,0.4818189109005632,0.036703036683011794,34
1.3752606868743897,0.013279249253876978,0.057643461227416995,0.001121233005835198,,1,500,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.5352754466540025,0.4327981767806713,0.5004115439703948,0.48704122568812097,0.44494762265846605,0.4800948031503311,0.03735832256293468,35
0.23556218147277833,0.0021335562215819815,0.009645223617553711,0.00014884722224985062,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",0.5562281749371465,0.5151142317444287,0.6352813081265353,0.546154494254587,0.5520163854269508,0.5609589188979297,0.03986746220459286,30
0.7029106616973877,0.003037912002432651,0.026353788375854493,0.0005695326210081489,,5,300,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.5608824071624947,0.5170983587285557,0.6341104061215276,0.5418446243284056,0.5590288354421812,0.5625929263566329,0.03906565307940555,29
1.188091516494751,0.005397960675934707,0.04300322532653809,0.00029505786376615554,,5,500,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.5576435477967207,0.5179883938089628,0.6327969219535485,0.5651481666310211,0.5520163854269508,0.5651186831234407,0.03749441799620032,28
