word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
bp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,bp,0.0001164313782564,0.5143212870569726,0.0
families,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.082675,8,0,fam'lies,0.0001164313782564,0.5143212870569726,0.0
ls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,ls,0.0001164313782564,0.5143212870569726,0.0
biochem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,7,0,bioches,0.0001164313782564,0.5143212870569726,0.0
rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,rj,0.0001164313782564,0.5143212870569726,0.0
je,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,je,0.0001164313782564,0.5143212870569726,0.0
komor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,5,0,fomor,0.0001164313782564,0.5143212870569726,0.0
dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1206,2,0,dr,0.0001164313782564,0.5143212870569726,0.0
jm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,jm,0.0001164313782564,0.5143212870569726,0.0
mc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,2,0,mc,0.0001164313782564,0.5143212870569726,0.0
crisprs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0013,7,0,crisps,0.0001164313782564,0.5143212870569726,0.0
ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.174825,2,0,ng,0.0001164313782564,0.5143212870569726,0.0
tente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.156075,5,0,tent,0.0001164313782564,0.5143212870569726,0.0
ucart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0129,5,0,cart,0.0001164313782564,0.5143212870569726,0.0
cellectis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,0,collects,0.0001164313782564,0.5143212870569726,0.0
sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.0,2,0,sb,0.0001164313782564,0.5143212870569726,0.0
lmna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,4,0,lna,0.0001164313782564,0.5143212870569726,0.0
immunode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.066275,8,0,immunome,0.0001164313782564,0.5143212870569726,0.0
knockin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.32985,7,0,knockit,0.0001164313782564,0.5143212870569726,0.0
ensure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.6266,6,0,insure,0.0001164313782564,0.5143212870569726,0.0
uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.244475,2,0,uk,0.0001164313782564,0.5143212870569726,0.0
technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.074,12,0,technologist,0.0001164313782564,0.5143212870569726,0.0
manuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1904249999999999,6,0,manul,0.0001164313782564,0.5143212870569726,0.0
cally,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.195925,5,0,call,0.0001164313782564,0.5143212870569726,0.0
signi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.40455,5,0,sign,0.0001164313782564,0.5143212870569726,0.0
triggered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.5112500000000001,9,0,triggerred,0.0001164313782564,0.5143212870569726,0.0
engl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,4,0,eng,0.0001164313782564,0.5143212870569726,0.0
china's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.0077999999999999,7,0,chinas,0.0001164313782564,0.5143212870569726,0.0
