word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment
wrong,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1697,0,-0.3120669416617564
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1693,0,0.560758062610749
nice,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1680,0,0.7034974404761898
new,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1616,0,0.3617650990099006
most,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1601,0,0.40607439100562187
still,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1601,0,0.23168863210493437
thank,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1589,0,0.7504006293266214
something,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1576,0,0.18589467005076157
say,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1557,0,0.3008238278741175
phone,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,0,0.08769987021414682
does,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1540,0,0.19867012987012986
easy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1540,0,0.7584877922077892
think,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,0.4788749999999998
version,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486,0,0.3253536339165544
anything,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1463,0,0.36045693779904286
bad,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1443,0,-0.35739404019404114
question,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0.21111729166666698
experience,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,0,0.3477316233309913
thing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0.3071466666666673
tool,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,0.5738247693399565
life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0.5934036221590898
makes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,0,0.40204767691208054
try,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,0,0.28834625454545487
sometimes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1366,0,0.2564346998535868
without,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1334,0,0.2847865817091452
day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,0,0.41478335843373426
should,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1319,0,0.33135246398786994
search,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,0.4266332037325044
