word,pos,plural
Berkeleian,noun,1
Berkeleianism,noun,1
Berkeley,noun,1
Berkshire,noun,1
Berliner,noun,1
Berliners,noun,1
Berlioz,noun,1
Bermuda,noun,1
Bermudan,noun,1
Bermudans,noun,1
Bermudas,noun,1
Bermudian,noun,1
Bermudians,noun,1
Bern,noun,1
Bernadette,noun,1
Bernadine,noun,1
Bernard,noun,1
Bernardine,noun,1
Berne,noun,1
Bernhardt,noun,1
Bernice,noun,1
Bernie,noun,1
Bernini,noun,1
Bernoulli,noun,1
Bernstein,noun,1
Bert,noun,1
Berthold,noun,1
Bertie,noun,1
Bertolucci,noun,1
Bertram,noun,1
Bertrand,noun,1
Berwick,noun,1
Berwick-upon-Tweed,noun,1
Besant,noun,1
Bess,noun,1
Bessarabia,noun,1
Bessarabian,noun,1
Bessel,noun,1
Bessemer,noun,1
Bessie,noun,1
Bessy,noun,1
Betelgeuse,noun,1
Bethany,noun,1
Bethesda,noun,1
Bethlehem,noun,1
Betjeman,noun,1
Betsy,noun,1
Bettina,noun,1
Beulah,noun,1
Bevan,noun,1
Beveridge,noun,1
Beverley,noun,1
Bevin,noun,1
Bewick,noun,1
Bexley,noun,1
Bharat,noun,1
Bhopal,noun,1
Bhutan,noun,1
Bhutto,noun,1
Biafra,noun,1
Biafran,noun,1
Biafrans,noun,1
Bialystok,noun,1
Bianca,noun,1
Biarritz,noun,1
Bielefeld,noun,1
Bierce,noun,1
Bihar,noun,1
Bihari,noun,1
Biharis,noun,1
Bilbao,noun,1
Bildungsroman,noun,1
Billiton,noun,1
Bim,noun,1
Bingen,noun,1
Birkbeck,noun,1
Birkenhead,noun,1
Birmingham,noun,1
Biro,noun,1
Biros,noun,1
Biscay,noun,1
Bismarck,noun,1
Bissau,noun,1
Bizet,noun,1
Blackbeard,noun,1
Blackburn,noun,1
Blackfoot,noun,1
Blackmore,noun,1
Blackpool,noun,1
Blackshirt,noun,1
Blackshirts,noun,1
Blair,noun,1
Blake,noun,1
Blanche,noun,1
Blenheim,noun,1
Bligh,noun,1
Bloch,noun,1
Bloemfontein,noun,1
Blois,noun,1
Blondie,noun,1
Bloomfield,noun,1
Bloomington,noun,1
Bloomsbury,noun,1
Blyth,noun,1
Boadicea,noun,1
Boanerges,noun,1
Boaz,noun,1
Bobbie,noun,1
Boccaccio,noun,1
Boccherini,noun,1
Bochum,noun,1
Bodhisattva,noun,1
Bodleian,noun,1
Bodmin,noun,1
Bodoni,noun,1
Boeotia,noun,1
Boeotian,noun,1
Boer,noun,1
Boers,noun,1
Boethius,noun,1
Bogarde,noun,1
Bogart,noun,1
Bogor,noun,1
Bohemia,noun,1
Bohemian,noun,1
Bohemianism,noun,1
Bohemians,noun,1
Bohol,noun,1
Bohr,noun,1
Boileau,noun,1
Boise,noun,1
Boito,noun,1
Bokhara,noun,1
Boleyn,noun,1
Bolingbroke,noun,1
Bolivia,noun,1
Bolivian,noun,1
Bolivians,noun,1
Bollandist,noun,1
Bologna,noun,1
Bolshevik,noun,1
Bolsheviks,noun,1
Bolton,noun,1
Boltzmann,noun,1
Bolzano,noun,1
Bombay,noun,1
Bonaparte,noun,1
Bonapartism,noun,1
Bonapartist,noun,1
Bonhoeffer,noun,1
Bonington,noun,1
Bonn,noun,1
Bonnard,noun,1
Booker,noun,1
Boole,noun,1
Boone,noun,1
Boorman,noun,1
Bootle,noun,1
Bophuthatswana,noun,1
Bordeaux,noun,1
Bordet,noun,1
Boreas,noun,1
Borg,noun,1
Borges,noun,1
Borghese,noun,1
Borgia,noun,1
Boris,noun,1
Borneo,noun,1
Bornholm,noun,1
Borodin,noun,1
Borodino,noun,1
Bosch,noun,1
Bose,noun,1
Bosnia,noun,1
Boswell,noun,1
Boswellism,noun,1
Botha,noun,1
Botswana,noun,1
Botticelli,noun,1
Bottrop,noun,1
Botvinnik,noun,1
Boucher,noun,1
Boudicca,noun,1
Bougainville,noun,1
Boulanger,noun,1
Boulez,noun,1
Boulogne,noun,1
Bourbaki,noun,1
Bourbonism,noun,1
Bourbonist,noun,1
Bournemouth,noun,1
Bovril,noun,1
Bowen,noun,1
Bowie,noun,1
Bowles,noun,1
Boyce,noun,1
Boyd,noun,1
Boyer,noun,1
Boyle,noun,1
Boz,noun,1
Brabant,noun,1
Bracknell,noun,1
Bradbury,noun,1
Bradburys,noun,1
Bradford,noun,1
Bradley,noun,1
Bradman,noun,1
Bradshaw,noun,1
Bragg,noun,1
Brahe,noun,1
Brahma,noun,1
Brahman,noun,1
Brahmanism,noun,1
Brahmaputra,noun,1
Brahmi,noun,1
Brahmin,noun,1
Brahminism,noun,1
Brahmins,noun,1
Brahms,noun,1
Braille,noun,1
Braillist,noun,1
Braillists,noun,1
Bram,noun,1
Bramante,noun,1
Bramley,noun,1
Bramleys,noun,1
Brancusi,noun,1
Brandenburg,noun,1
Brando,noun,1
Brandt,noun,1
Braque,noun,1
Bratislava,noun,1
Braun,noun,1
Braunschweig,noun,1
Brazilian,noun,1
Brazilians,noun,1
Brazzaville,noun,1
Brecht,noun,1
Brecon,noun,1
Breconshire,noun,1
Breda,noun,1
Bregenz,noun,1
Bremen,noun,1
Bremerhaven,noun,1
Brenda,noun,1
Brendan,noun,1
Brentwood,noun,1
Brescia,noun,1
Brest,noun,1
Bretagne,noun,1
Brett,noun,1
Breughel,noun,1
Brezhnev,noun,1
Brian,noun,1
Briard,noun,1
Bridgeport,noun,1
Bridget,noun,1
Bridgetown,noun,1
Bridgwater,noun,1
Brie,noun,1
Briggs,noun,1
Brighouse,noun,1
Brighton,noun,1
Brigid,noun,1
Brigit,noun,1
Brisbane,noun,1
Bristol,noun,1
Bristow,noun,1
Britain,noun,1
Britannia,noun,1
Briticism,noun,1
British,noun,1
Britisher,noun,1
Britishers,noun,1
Britishism,noun,1
Britishness,noun,1
Briton,noun,1
Britons,noun,1
Brittany,noun,1
Britten,noun,1
Brittonic,noun,1
Brno,noun,1
Broadmoor,noun,1
Brobdingnag,noun,1
Broederbond,noun,1
Broglie,noun,1
Bromley,noun,1
Bromsgrove,noun,1
Bronson,noun,1
Bronwen,noun,1
Bronx,noun,1
Brooke,noun,1
Brooklyn,noun,1
Brookner,noun,1
Browne,noun,1
Brubeck,noun,1
Bruce,noun,1
Bruch,noun,1
Bruckner,noun,1
Brueghel,noun,1
Bruges,noun,1
Brumaire,noun,1
Brummagem,noun,1
Brummell,noun,1
Brummie,noun,1
Brummies,noun,1
Brundisium,noun,1
Brunei,noun,1
Brunel,noun,1
Brunella,noun,1
Brunelleschi,noun,1
Brunhild,noun,1
Bruno,noun,1
Brunswick,noun,1
Brussels,noun,1
Brutus,noun,1
Bruxelles,noun,1
Bryan,noun,1
Bryant,noun,1
Bryn,noun,1
Brynhild,noun,1
Bryozoa,noun,1
Brython,noun,1
Brythonic,noun,1
Bucephalus,noun,1
Buchan,noun,1
Buchanan,noun,1
Bucharest,noun,1
Buchenwald,noun,1
Buchmanism,noun,1
Buchmanite,noun,1
Buchner,noun,1
Buckingham,noun,1
Buckinghamshire,noun,1
Bucuresti,noun,1
Budapest,noun,1
Buddenbrooks,noun,1
